iter	Passed	Remaining
403	11651	2768
404	11679	2739
405	11707	2710
406	11734	2681
407	11761	2652
408	11788	2622
409	11815	2593
410	11843	2564
411	11871	2535
412	11900	2506
413	11929	2478
414	11958	2449
415	11988	2420
416	12017	2392
417	12046	2363
418	12077	2334
419	12106	2306
420	12138	2277
421	12168	2249
422	12199	2220
423	12230	2192
424	12259	2163
425	12287	2134
426	12317	2105
427	12345	2076
428	12373	2047
429	12402	2018
430	12429	1989
431	12458	1961
432	12486	1932
433	12513	1903
434	12541	1873
435	12568	1844
436	12596	1815
437	12623	1786
438	12652	1758
439	12679	1729
440	12707	1700
441	12733	1670
442	12761	1642
443	12790	1613
444	12818	1584
445	12846	1555
446	12874	1526
447	12902	1497
448	12930	1468
449	12957	1439
450	12986	1410
451	13014	1382
452	13041	1353
453	13069	1324
454	13097	1295
455	13124	1266
456	13152	1237
457	13180	1208
458	13208	1179
459	13235	1150
460	13263	1122
461	13291	1093
462	13319	1064
463	13347	1035
464	13374	1006
465	13402	977
466	13430	949
467	13457	920
468	13484	891
469	13513	862
470	13540	833
471	13567	804
472	13595	776
473	13622	747
474	13649	718
475	13677	689
476	13705	660
477	13733	632
478	13760	603
479	13788	574
480	13815	545
481	13843	516
482	13870	488
483	13897	459
484	13925	430
485	13953	401
486	13981	373
487	14008	344
488	14036	315
489	14064	287
490	14092	258
491	14121	229
492	14148	200
493	14174	172
494	14202	143
495	14230	114
496	14259	86
497	14288	57
498	14317	28
499	14346	0
